Sale_Date,Property_ID,Suburb,Postcode,Sale_Price,Bedrooms,Bathrooms,Parking,Property_Type,Data_Source
2013-11-21,7487,Killara,2071,1235000,4,3,2,house,Uploaded Sydney housing sales dataset
2012-01-13,7542,Killara,2071,2475000,6,7,4,house,Uploaded Sydney housing sales dataset
2015-06-23,7407,Killara,2071,1968000,3,1,1,house,Uploaded Sydney housing sales dataset
2010-03-26,7597,Killara,2071,1772000,5,2,2,house,Uploaded Sydney housing sales dataset
2017-03-18,7747,Killara,2071,2905000,5,2,2,house,Uploaded Sydney housing sales dataset
2016-06-04,5163,Freshwater,2096,1862000,3,1,2,house,Uploaded Sydney housing sales dataset
2015-12-04,5641,Freshwater,2096,1525000,2,2,1,house,Uploaded Sydney housing sales dataset
2009-09-11,5856,Freshwater,2096,1000000,2,1,2,house,Uploaded Sydney housing sales dataset
2017-05-25,5106,Freshwater,2096,2501000,3,3,1,house,Uploaded Sydney housing sales dataset
2015-08-21,5273,Freshwater,2096,2820000,3,1,2,house,Uploaded Sydney housing sales dataset
2012-11-19,5428,Freshwater,2096,582000,2,1,2,townhouse,Uploaded Sydney housing sales dataset
2019-03-30,4992,Freshwater,2096,2637500,4,3,2,house,Uploaded Sydney housing sales dataset
2013-03-28,5711,Freshwater,2096,1000000,3,1,1,house,Uploaded Sydney housing sales dataset
2017-05-20,5107,Freshwater,2096,3575000,4,2,3,house,Uploaded Sydney housing sales dataset
2008-11-24,5528,Freshwater,2096,660000,2,1,1,townhouse,Uploaded Sydney housing sales dataset
2018-01-19,5063,Freshwater,2096,1950000,3,2,1,house,Uploaded Sydney housing sales dataset
2016-03-24,5178,Freshwater,2096,2545000,4,3,2,house,Uploaded Sydney housing sales dataset
2016-06-11,5161,Freshwater,2096,2100000,3,1,2,house,Uploaded Sydney housing sales dataset
2008-12-05,5888,Freshwater,2096,965000,3,2,1,house,Uploaded Sydney housing sales dataset
2019-03-30,5556,Freshwater,2096,2050000,3,2,2,house,Uploaded Sydney housing sales dataset
2014-02-07,5357,Freshwater,2096,1570000,5,2,2,house,Uploaded Sydney housing sales dataset
2018-09-22,5024,Freshwater,2096,1985000,1,2,2,house,Uploaded Sydney housing sales dataset
2014-11-06,5310,Freshwater,2096,1200000,2,1,1,townhouse,Uploaded Sydney housing sales dataset
2015-07-06,5276,Freshwater,2096,1710000,3,1,1,house,Uploaded Sydney housing sales dataset
2017-03-04,5123,Freshwater,2096,2515000,3,3,2,house,Uploaded Sydney housing sales dataset
2019-06-05,4978,Freshwater,2096,1345000,3,2,2,house,Uploaded Sydney housing sales dataset
2008-12-09,5887,Freshwater,2096,1300000,3,1,2,house,Uploaded Sydney housing sales dataset
2010-11-12,5808,Freshwater,2096,1385000,6,2,2,house,Uploaded Sydney housing sales dataset
2008-05-02,5904,Freshwater,2096,1455000,5,3,2,house,Uploaded Sydney housing sales dataset
2019-03-30,5555,Freshwater,2096,2440000,5,3,4,house,Uploaded Sydney housing sales dataset
2010-08-25,5815,Freshwater,2096,920000,3,1,2,house,Uploaded Sydney housing sales dataset
2017-07-31,5097,Freshwater,2096,2350000,4,3,2,house,Uploaded Sydney housing sales dataset
2015-11-14,5202,Freshwater,2096,2700000,5,4,2,house,Uploaded Sydney housing sales dataset
2010-02-18,5840,Freshwater,2096,1500000,5,3,2,house,Uploaded Sydney housing sales dataset
2014-05-31,5668,Freshwater,2096,2800000,6,3,3,house,Uploaded Sydney housing sales dataset
2008-07-03,5903,Freshwater,2096,920000,3,1,1,house,Uploaded Sydney housing sales dataset
2014-07-04,5243,Freshwater,2096,1865000,3,2,1,house,Uploaded Sydney housing sales dataset
2017-04-01,5116,Freshwater,2096,2420000,3,1,2,house,Uploaded Sydney housing sales dataset
2013-08-26,5394,Freshwater,2096,936000,3,2,1,house,Uploaded Sydney housing sales dataset
2015-05-04,5286,Freshwater,2096,1630000,3,1,1,house,Uploaded Sydney housing sales dataset
2016-01-11,6334,Eagle Vale,2558,530000,3,1,1,house,Uploaded Sydney housing sales dataset
2015-11-11,6104,Eagle Vale,2558,508000,3,1,1,house,Uploaded Sydney housing sales dataset
2010-05-20,6740,Eagle Vale,2558,335000,3,1,2,house,Uploaded Sydney housing sales dataset
2018-11-06,6135,Eagle Vale,2558,655000,4,1,3,house,Uploaded Sydney housing sales dataset
2010-02-11,6755,Eagle Vale,2558,390000,4,2,2,house,Uploaded Sydney housing sales dataset
2015-07-06,6401,Eagle Vale,2558,640000,5,2,2,house,Uploaded Sydney housing sales dataset
2015-12-18,6338,Eagle Vale,2558,475000,3,1,1,house,Uploaded Sydney housing sales dataset
2015-02-20,6479,Eagle Vale,2558,565000,4,2,2,house,Uploaded Sydney housing sales dataset
2011-10-14,7108,Eagle Vale,2558,280000,3,1,1,house,Uploaded Sydney housing sales dataset
2015-09-10,6379,Eagle Vale,2558,450000,3,1,1,duplex/semi-detached,Uploaded Sydney housing sales dataset
2019-04-10,5925,Eagle Vale,2558,509950,3,1,2,house,Uploaded Sydney housing sales dataset
2010-11-15,6726,Eagle Vale,2558,380000,4,2,2,house,Uploaded Sydney housing sales dataset
2014-11-17,6896,Eagle Vale,2558,553000,4,2,2,house,Uploaded Sydney housing sales dataset
2014-12-19,6502,Eagle Vale,2558,450000,3,2,2,house,Uploaded Sydney housing sales dataset
2015-02-28,6473,Eagle Vale,2558,414000,3,1,1,duplex/semi-detached,Uploaded Sydney housing sales dataset
2013-08-09,6627,Eagle Vale,2558,428500,4,2,1,house,Uploaded Sydney housing sales dataset
2012-03-12,7075,Eagle Vale,2558,335000,3,1,1,house,Uploaded Sydney housing sales dataset
2017-03-10,6048,Eagle Vale,2558,685000,6,2,2,house,Uploaded Sydney housing sales dataset
2013-06-03,7001,Eagle Vale,2558,285000,3,1,1,duplex/semi-detached,Uploaded Sydney housing sales dataset
2012-06-23,7063,Eagle Vale,2558,365000,3,2,2,house,Uploaded Sydney housing sales dataset
2016-07-21,6085,Eagle Vale,2558,470000,3,1,1,house,Uploaded Sydney housing sales dataset
2014-03-06,6937,Eagle Vale,2558,419000,3,2,2,house,Uploaded Sydney housing sales dataset
2011-04-27,7148,Eagle Vale,2558,378000,4,2,2,house,Uploaded Sydney housing sales dataset
2015-05-12,6433,Eagle Vale,2558,425000,3,1,1,duplex/semi-detached,Uploaded Sydney housing sales dataset
2013-10-22,6620,Eagle Vale,2558,399000,3,2,1,house,Uploaded Sydney housing sales dataset
2019-06-13,5917,Eagle Vale,2558,515000,3,1,2,house,Uploaded Sydney housing sales dataset
2014-02-26,6807,Eagle Vale,2558,410000,3,1,2,house,Uploaded Sydney housing sales dataset
2015-11-06,6354,Eagle Vale,2558,485000,3,1,1,duplex/semi-detached,Uploaded Sydney housing sales dataset
2018-12-12,5937,Eagle Vale,2558,580000,3,1,1,house,Uploaded Sydney housing sales dataset
2016-02-22,6311,Eagle Vale,2558,520000,4,2,4,house,Uploaded Sydney housing sales dataset
2016-09-06,6081,Eagle Vale,2558,550000,3,1,2,house,Uploaded Sydney housing sales dataset
2014-06-17,6557,Eagle Vale,2558,495758,5,2,2,house,Uploaded Sydney housing sales dataset
2015-07-31,6109,Eagle Vale,2558,580000,4,1,4,house,Uploaded Sydney housing sales dataset
2011-03-16,6818,Eagle Vale,2558,242000,2,1,1,villa,Uploaded Sydney housing sales dataset
2010-10-28,6819,Eagle Vale,2558,385000,3,2,2,house,Uploaded Sydney housing sales dataset
